,iteration,train loss
0,100,1.1884277629852296
1,200,0.9572755355834961
2,300,0.9000941629409792
3,400,0.8726663303375246
4,500,0.8500079221725464
5,600,0.8281936292648312
6,700,0.8125034513473511
7,800,0.7950202283859253
8,900,0.7818171644210815
9,1000,0.7679285449981689
10,1100,0.7586812109947203
11,1200,0.7461334247589113
12,1300,0.7337957243919372
13,1400,0.7282112832069398
14,1500,0.7127914390563965
15,1600,0.7109938836097719
16,1700,0.6998861260414124
17,1800,0.6870557808876038
18,1900,0.6830229139328006
19,2000,0.6707104659080505
20,2100,0.6661370639801025
21,2200,0.6576664438247681
22,2300,0.6490115861892698
23,2400,0.6413158206939699
24,2500,0.637418200969696
25,2600,0.6299229440689087
26,2700,0.6253197293281555
27,2800,0.6099352049827576
28,2900,0.6098986706733704
29,3000,0.6054567461013795
30,3100,0.5971239466667176
31,3200,0.5874774022102356
32,3300,0.5876161475181578
33,3400,0.5756747336387634
34,3500,0.5709591388702392
35,3600,0.5639983816146851
36,3700,0.5560451550483704
37,3800,0.552499752521515
38,3900,0.5440838327407838
39,4000,0.5432592496871949
40,4100,0.530709499835968
41,4200,0.5344993185997009
42,4300,0.5263842678070069
43,4400,0.5204158992767334
44,4500,0.5126710824966432
45,4600,0.5072923550605775
46,4700,0.5043233284950257
47,4800,0.4992542071342468
48,4900,0.4962228503227234
49,5000,0.4923490867614746
